CUI,CAEN,ACTIVE IMOBILIZATE - TOTAL,ACTIVE CIRCULANTE - TOTAL din care:,Stocuri,Creante,Casa si conturi la banci,CHELTUIELI IN AVANS,DATORII,VENITURI IN AVANS,PROVIZIOANE,CAPITALURI - TOTAL din care:,Capital subscris varsat,Patrimoniul regiei,Cifra de afaceri neta,VENITURI TOTALE,CHELTUIELI TOTALE,Profitul brut,Pierdere bruta,Profitul net,Pierdere neta,Numar mediu de salariati
13845929,4321,10319324,53777961,12485178,24162783,17130000,1054541,20116012,0,,45035814,100000,,71806419,72590662,70720923,1869739,0,1505815,0,120
13869014,4920,43302813,27227186,1447864,25523951,255371,46620,39401170,,108469,31066980,18667000,,45359474,48181473,46845589,1335884,0,1335884,0,93
13869251,7311,607736,22558401,,20908747,1649654,567133,20602983,,725166,2405121,200,,45356662,46222526,42957011,3265515,0,2404879,0,59
13873015,4920,4604940,303585997,2818754,298663584,2103155,76067,5512113,270000000,,32754891,120719320,,4070780,4673175,4140625,532550,0,441846,0,104
13886414,4120,4233334,31931835,2329726,26189605,3412504,69818,25044037,,4872072,6318878,100000,,78907471,83623920,80532511,3091409,0,1555772,0,125
13904170,5629,2227119,21706953,2985157,10660441,8061355,424387,12015937,18235,774616,11549671,6964846,0,84485018,85327079,81937362,3389717,0,2785774,0,834
13906384,4618,8174736,30317175,6655109,21855947,1806119,84276,21473603,,,17102584,8889000,,74050702,75140272,73761831,1378441,0,1152748,0,19
13923725,4110,342198490,3188566,,2179047,1009519,4614085,196012127,153496,,153835518,165000330,,41200701,47377755,37988902,9388853,0,9388853,0,
13965909,5811,6113766,20166782,10087607,9691945,387230,692827,11524444,,,15448931,10000,,38240099,38342501,31654708,6687793,0,5670422,0,114
13980470,7311,43353,26114589,,17811806,8302783,51676,23954659,958567,54523,1241869,7108046,,48072587,48508218,48432704,75514,0,75514,0,13
13986405,4211,5603503,37334457,3358199,32014032,1962226,0,42878702,0,0,59258,50000,0,19260088,19274384,22063341,0,2788957,0,2788957,33
