CUI,CAEN,ACTIVE IMOBILIZATE ,ACTIVE CIRCULANTE ,Stocuri,Creante,Casa si conturi la banci,CHELTUIELI IN AVANS,DATORII,VENITURI IN AVANS,PROVIZIOANE,CAPITALURI - TOTAL din care:,Capital subscris varsat,Patrimoniul regiei,Cifra de afaceri neta,VENITURI TOTALE,CHELTUIELI TOTALE,Profitul brut,Pierdere bruta,Profitul net,Pierdere neta,Numar mediu de salariati
22209548,5510,41781135,6365281,1642788,450974,4271519,1798101,55094790,,,-5150273,13577200,,9833258,10621733,12911621,0,2289888,0,2289888,77
24069246,6920,53353,34676,2032,9273,23371,,176549,,,-88520,200,,72152,73756,70078,3678,0,3678,0,1
25741956,210,6760181,488380,4878,419473,64029,,553778,,,6694783,,,1074952,1302501,1302048,453,0,0,0,18
25755455,4752,113792,1207753,372006,778783,56964,,875132,,,446413,220,,4830504,4830836,4315737,515099,0,445601,0,
26261034,5510,156928242,1847935,211780,822895,812592,48545,33795489,318810,,124710423,126699982,,24538884,24566246,24084040,482206,0,364830,0,199
27221372,3600,27057,893053,21959,508904,362190,869,221409,,,699570,490000,,2121319,2143272,1907408,235864,0,210139,0,34
27221380,8130,,185037,,1050,183987,,84684,,,100353,90000,,735957,742316,684816,57500,0,49706,0,17
27354450,8010,,29443,,29361,82,,26351,,,3092,200,,0,359434,338089,21345,0,20833,0,13
27820967,3511,177570,341539,138869,81328,121342,,275032,,,244077,2250,,425088,492151,458082,34069,0,29192,0,4
28281682,3600,,1986,,1984,2,,0,,,1986,30200,,65425,76080,74171,1909,0,1909,0,1
28510530,8622,5609,19253,,,19253,,0,,,24862,20000,,0,0,0,0,0,0,0,
31151518,3600,,27241,,15628,11613,,50695,,,-23454,200,,175775,175780,197961,0,22181,0,22181,4
32419318,3811,12863,17518,,4877,12641,,118056,,,-87675,200,,34145,34146,96665,0,62519,0,62519,3
33780913,4772,278907,51963336,37673266,14047454,195607,89906,56093772,,,-3761623,910030,,24910623,25068302,29927149,0,4858847,0,4858847,205
34434624,4673,1340025,8999358,5675892,1293587,2029879,44835,3769203,453652,,6161363,455930,,43785977,44096777,40980704,3116073,0,2803697,0,116
34963676,210,213228,2745071,275,410816,2333980,5227,626493,0,,2337033,,,3837971,3914573,1653620,2260953,0,1941050,0,18
35351080,2932,113002753,99506900,26926648,65351878,7228374,928020,177664100,0,,35773573,11000000,,225148189,233077953,262000903,0,28922950,0,28922950,215
35998419,9329,14841,110846,14901,13206,82739,,11143,,,114544,200000,,234856,234856,323157,0,88301,0,88301,
36806945,3600,,39809,,1924,37885,,29366,,,10443,10000,,137383,138181,137654,527,0,443,0,4
38103160,3600,,463,,,463,,207,,,256,500,,0,0,244,0,244,0,244,0
16067546,210,72941,1964425,51977,1593770,318678,,456997,,,1580369,,46440,2973939,2988241,2156085,832156,0,698671,0,27
16420680,210,,,,,,,0,,,0,,,0,0,,0,0,0,0,
17429946,210,629438,3398902,198873,1528219,1671810,,1236462,,58000,2733878,,12000,6317192,7065949,4093438,2972511,0,2494148,0,34
25327840,210,1111905,6148568,36861,874837,5236870,417,2615004,,,4645886,,397435,9532403,9932979,6472751,3460228,0,3023678,0,56
25336481,210,1785,1948387,10658,592892,1344837,2592,1510886,,,441878,,277663,1899142,2475806,2440999,34807,0,28444,0,47
25472076,210,1316171,1711421,231006,1289272,191143,,872775,1087800,,1067017,,85870,4460045,4782593,4356822,425771,0,399616,0,38
25492677,210,57891,1870209,50338,175955,1643916,,748395,,,1179705,,490,3141803,3385298,2364374,1020924,0,863655,0,29
25713883,210,13777,235838,21,197985,37832,,224612,25003,,0,,,1141311,1157246,1157246,0,0,0,0,16
25725314,210,284689,3124536,51102,1047491,2025943,11000,1282410,,,2137815,,7182,5400167,5911095,4390483,1520612,0,1290001,0,34
25742072,210,996984,2557150,286413,140360,2117167,0,603624,0,0,2950510,0,1552561,3168498,3586467,2766628,819839,0,687317,0,31
27924739,210,387840,2798667,29037,2011834,757796,,1003916,,,2182591,,622524,4509799,5062146,3776742,1285404,0,1103491,0,27
30735390,6832,14947,752071,,516513,235558,,458449,,,308569,980400,,212464,214016,490020,0,276004,0,276004,5
31547777,8129,,25723,,11055,14668,,10359,,,15364,200,,119150,119160,118832,328,0,275,0,5
32371180,4120,23164,259447,0,144242,115205,0,462435,0,0,-179824,200,0,207746,207746,246123,0,38377,0,39248,0
32521937,210,414956,3725453,248755,166413,3310285,,541058,,,3599351,,,8013073,7869619,7198051,671568,0,564080,0,76
32740988,8010,35350,1056164,30248,899034,126882,,633765,,25000,432749,37369,,5752713,5755779,5438884,316895,0,264480,0,195
10863084,6820,2147081,2483136,136017,1718795,628324,11485,650726,697799,8000,3285177,343590,,4318712,5342313,5201499,140814,0,72218,0,
32782843,4941,5419795,3685779,202648,3413317,69814,10081,8156453,,,959202,200,,5238856,5677572,5300161,377411,0,325372,0,
32865035,3811,,58740,78,57140,1522,,45086,,,13654,10000,,0,0,1094,0,1094,0,1094,
505623,1107,44273769,31773259,7590894,9759397,14422968,185439,10732604,500667,458439,64540757,1149365,,101651701,105556439,94931317,10625122,0,9213029,0,369
512620,1071,21269182,10489850,4634486,2019451,3835913,47567,3904135,-7207,,27909671,7045087,,47579048,64421781,62220796,2200985,0,1805409,0,345
512825,2222,5564203,32264206,6326301,4175334,2250516,10920,2101892,18609,,35718828,142960,,28600764,29066322,24465035,4601287,0,3869534,0,113
523816,3109,20477753,22867870,13148326,9218013,501531,,6342351,636020,,36367252,1317742,,30168197,31700189,30922316,777873,0,664766,0,417
524625,4531,10216045,47375900,21418750,25749320,207830,53690,42124385,23756,,15497494,1000000,,100361504,101761064,94994839,6766225,0,5845092,0,81
525027,2511,10307553,5406562,2262903,2753830,389829,78593,27561514,142663,,-11911469,4555572,,11888173,11552354,15316417,0,3764063,0,3775553,
526790,1413,24700216,14422037,4925720,1195727,8300590,85072,2597753,0,0,36609572,4593750,0,38667746,42040323,43395705,0,1355382,0,1355382,973
527184,1721,21352126,20112617,4505922,15256429,350266,15990,16133178,0,0,25347555,15322,0,36539530,36946163,28983219,7962944,0,6725461,0,145
527397,3109,57681078,28014318,18980500,9007401,26417,12627,57978152,4505300,,23224571,180000,,89511847,97261946,96180602,1081344,0,904462,0,1217
529690,3109,20676566,20321991,15359907,2782949,2044012,437362,25953563,132575,,15349781,6000000,,31598398,36182860,35450066,732794,0,608959,0,197
538310,1011,8896727,16629244,4284033,11525655,819556,86049,15416039,2126771,20285,8048925,3000000,,75480071,81333323,80632674,700649,0,592844,0,140
546682,1330,11737502,22612388,3846783,4756630,14001996,34786,6037925,,,28346751,6846250,,24476199,43174183,30488619,12685564,0,12622135,0,362
556996,2599,25404701,18061522,4987291,1220299,11853932,1595,22602102,,,20865716,10000000,,28061871,27719269,21417694,6301575,0,5398597,0,130
557274,2712,12814774,13537070,8409404,5024534,103132,85043,5902448,,164388,20370051,1676538,,20562866,20683459,23024243,0,2340784,0,2340784,238
558580,4637,10400522,8934021,1940945,6232974,706345,951879,16556740,,19397,3710285,5781500,,37710591,38218695,37684129,534566,0,534566,0,74
559747,5510,74114498,1421402,331837,461184,600782,879573,15031010,313184,156138,60915141,47120843,,12120757,12579380,14674263,0,2094883,0,2257898,105
785078,1071,19052831,8545292,2333636,382310,5829346,201461,5329090,2368470,,20102024,875000,,77287030,99553126,92886102,6667024,0,5803973,0,296
788333,4649,17378774,908666,670996,231244,6426,,2314193,,,15973247,2544208,,1840173,1898616,2136251,0,237635,0,237635,9
789193,1413,7646939,15219478,3583223,3324458,3446582,74130,2058354,,529,20881664,454615,,25687843,26158355,23524537,2633818,0,2258078,0,333
789401,4931,57976816,15081625,992448,2436844,11652333,54433,15708660,251926,5692879,51459409,2541370,,38299292,38795493,36979330,1816163,0,404553,0,281
790600,4222,13849270,9629208,2155011,4837486,2636711,0,4359747,32771,0,19085960,1478678,0,20057489,25538929,24999929,539000,0,539000,0,136
803115,2599,12088888,37407779,16436687,7519833,13451259,18686,15859862,180760,2709568,30765163,6305295,,94835831,97999846,92154897,5844949,0,4871300,0,857
803727,2511,46313243,17365946,5602508,7953741,3809697,,43124811,2246597,7245750,11062031,61417980,,68405955,-25798189,31744672,0,57542861,0,57542861,144
807150,2712,5657946,8385791,3057019,5258015,70757,0,7032249,0,0,7011488,1353758,0,17301473,19430372,19259853,170519,0,150141,0,243
813526,2443,65908335,18208853,4433574,11504167,2271112,3621585,94378976,,,-6640203,66442865,,12099655,16016731,33524706,0,17507975,0,17507975,20
1090419,6820,21036114,14808688,110626,1798870,508987,4040,1154428,1779841,,32914573,4092577,,7249241,10404064,8969245,1434819,0,1235263,0,67
1093261,4752,16885725,14452106,8099711,4270446,2081949,16463,7421464,38333,,23894497,150000,,53373498,53474148,48606019,4868129,0,4169315,0,71
1093431,4321,5615916,21431736,936911,18069278,2425547,905195,14049974,241957,,13660916,101431,,26698657,26821023,26136083,684940,0,551714,0,139
1095130,3811,24672540,32304592,1630044,28202356,2472192,809306,32699609,2241,83920,25000668,5926228,,48000858,51431454,50022629,1408825,0,996008,0,544
1095637,7112,594064,126201,6278,115553,4370,354,679482,,,41137,199512,,145000,145000,150535,0,5535,0,5535,3
1098846,4632,10171704,26013235,17346406,8270029,396800,2755350,28263147,111111,,10566031,450000,,48670969,77171953,77416501,0,244548,0,259751,111
1101542,4211,2263291,10778122,2720126,4837991,3220005,0,25335476,,525015,-12819078,6514376,,16619008,12289136,23595134,0,11305998,0,11305998,137
1102041,5510,91659344,13279568,647466,1923685,10708417,768581,2963777,1055170,2328513,99360033,40320157,0,28974931,29620528,28129708,1490820,0,517838,0,275
1102556,4931,9776834,3206949,898076,1605457,703416,283706,10462540,464202,345204,1995543,6500590,0,59010376,59534227,60694358,0,1160131,0,1160131,817
1104107,4773,7499274,22902838,4244324,9543713,9114801,22638,11409934,16849,59000,18938967,971716,,54009794,54696512,52441440,2255072,0,2015325,0,135
1106817,1013,16888091,14357885,1351676,12495265,510944,,35883775,13563,,-4651362,750000,,43240127,45356150,45099442,256708,0,256708,0,186
1107049,2910,254366265,47239929,5305837,38576130,3357962,105420,152897248,127098,,148687268,308527086,,16365110,22190425,390986678,0,368796253,0,368796253,209
1109090,2312,8288297,8482389,914062,3370178,4198149,16540,3013075,,2630520,11143631,829336,,8578158,12294421,13212834,0,918413,0,996558,64
1109309,2573,15509415,13412737,4673053,8684188,55496,36477,1042685,,,27915944,4597005,,12686866,13165704,14354177,0,1188473,0,1188473,101
1109414,4673,9421471,13843659,9312581,4121972,408221,,8117779,,,15147351,16952,,37539104,38330680,35952819,2377861,0,2020279,0,60
1112290,2594,12981594,1350467,678539,376309,295619,450,12616238,392722,16551,1307000,13568408,0,1148155,1956855,2903237,0,946382,0,946382,11
1112568,1051,45633218,19048371,6677199,12126112,245060,634772,38499521,37627,10134,26769079,55796338,,93683179,96275241,94821597,1453644,0,1453644,0,293
1112878,3317,30569552,6973415,1856168,3943364,1173883,33134,9127130,,214589,28234382,11923375,,32969643,33206549,29321073,3885476,0,3336120,0,331
1113237,2511,16110327,324825,91612,217743,15470,1454,1542405,,,14894201,5568046,,2043912,2510107,2842013,0,331906,0,331906,27
14963620,6832,6297652,572284,76,434424,137784,3680,613686,,,6259930,2737511,,926819,1130439,1121217,9222,0,7307,0,7
15988267,8621,0,120239,23598,,96641,,13993,,,106246,400,,240680,240680,132427,108253,0,105846,0,
16041457,210,56618,3350316,80309,197121,3072886,55370,254255,243306,48836,2915907,,,2744845,3159051,2194714,964337,0,822971,0,22
16181981,210,1676058,1929523,128385,475575,1325563,2388,404082,1279599,30000,1894288,0,0,3454015,3657677,2746887,910790,0,764545,0,29
16228510,210,332106,2858267,5463,2012286,840518,61207,975077,985988,0,1290515,0,0,3257708,3442267,2527692,914575,0,759545,0,38
18761454,210,165267,1879307,26954,334130,1518223,69798,339945,1402462,,371965,,,1156134,1199701,962155,237546,0,199364,0,19
27277152,3811,136814,413240,1027,290841,121372,35511,266232,,,319333,60000,,1621404,1709764,1613038,96726,0,81323,0,20
37996090,1011,19401188,1810692,794111,991453,25128,,10510864,,31662,10669354,12270200,,203564,390785,1850202,0,1459417,0,1461453,47
1680258,8130,2847179,2313512,39908,706179,1566963,,802736,16355,,4341600,1258185,,4693594,4992424,4704310,288114,0,234091,0,89
5752187,5223,24758954,2592239,244175,533092,1814972,9926,3210991,7562789,24126,16563213,14167820,,4695516,6017015,6017015,0,0,0,0,48
11961641,6832,4171459,4827552,2071,46371,4779110,12321,931138,182610,584679,7312905,,572444,4210771,4485204,3647691,837513,0,641531,0,31
25645525,210,2473346,1034701,1050,954337,79314,,103688,2100545,,1303814,,153775,959277,1448215,1448068,147,0,0,0,12
25742641,210,80734,1806772,61624,838001,907147,,836961,449061,,601484,200,,3827273,4102793,3376768,726025,0,601244,0,51
27394322,3811,76222,498551,1874,473055,23622,,623063,,,-48290,150000,,1739010,1946661,2305442,0,358781,0,358781,40
30629844,8130,114767,1001707,20497,953913,27297,,874818,,,241656,323710,,2041318,2041582,2143978,0,102396,0,102396,59
32866391,2932,27450476,49955170,13137200,30902096,5915874,48815,57551419,93636,,19809406,112260,,95244870,95444824,94000419,1444405,0,887378,0,138
129030,1013,12215474,5510177,2028439,2969704,512034,6883,18695665,2619500,,-3582631,795233,,13830432,14246661,15153232,0,906571,0,906571,71
2520417,4941,1153556,807032,330765,456446,19821,,1762179,,,198409,55000,,1923972,1923972,1913633,10339,0,8913,0,
2522213,7211,29633119,8160796,7283814,855729,21253,,4248935,134594,9945949,23464437,,,2516488,3848617,3838147,10470,0,10470,0,57
12162650,2361,2514654,1852727,82863,1338947,430917,0,829114,150080,0,3388187,4220155,0,5252311,4884009,4457795,426214,0,344146,0,37
14001286,3600,444069,269765,514,243166,26085,0,941798,,,-227964,2090000,,2328926,2333390,2275883,57507,0,57507,0,35
18820020,2550,14260918,14522659,3219983,9479162,1823514,95508,12031291,,,16847794,5754606,,26100302,31348648,27203094,4145554,0,3500075,0,142
19306966,2751,123895874,61654367,31283866,27733727,2636774,28377,79012750,30698175,418187,75449506,73564772,,232225532,238538817,228408520,10130297,0,8900256,0,265
25463531,4299,44587,81485,,63657,17828,,87596,,,38476,50000,,735441,735666,830649,0,94983,0,94983,
27280123,6820,544157,1340612,2159,56938,1281515,,116403,,,1768366,200,,1039828,1045455,940556,104899,0,85858,0,19
27300824,8129,663687,690073,25402,229724,434947,5144,181276,30777,,1146851,820000,,2284076,2292325,2073020,219305,0,185034,0,44
27404850,3600,,68390,2494,46068,19828,,26120,,,42270,200,,156261,158347,154207,4140,0,1378,0,4
27617157,130,27275,235466,26277,77685,131504,6666,111987,3333,,154087,200,,82567,82959,88434,0,5475,0,6355,1
28708334,8010,225,791946,6764,663039,122143,529,567319,,,225381,100000,,5685099,5691796,5660483,31313,0,26251,0,240
29387348,3600,9105,87857,117,58383,29357,146,87755,,,9353,200,,237485,237584,235472,2112,0,2112,0,4
30500997,3600,22355,79599,23281,55995,323,,144385,,,-42431,20200,,503191,503197,548937,0,45740,0,45740,10
32730631,8292,26,2271,,2222,49,,4650,,,-2353,200,,0,0,,0,0,0,0,
37187332,2221,12391970,7729327,668272,6017588,1043467,33657,23830781,0,124971,-3800798,100000,0,12766233,13107062,17007860,0,3900798,0,3900798,132
962838,1320,8774651,13155518,7928195,1035276,2113681,200,528318,35427,,21366624,4964683,,7567622,9388031,9194109,193922,0,144816,0,84
10097629,1413,894561,696874,,598396,98478,,310291,,,1281144,11000,,3374360,3445141,3369334,75807,0,75807,0,104
15904533,6832,43612,1149332,2786,905587,240959,1541,1773702,64442,5357517,-6001176,1861000,,3901183,3943015,3961090,0,18075,0,18075,9
19129902,3530,0,615445,0,610931,4514,,20907806,,,-20292361,100000,,0,71233,415556,0,344323,0,344323,1
24840820,4941,13797,22366,,6079,16287,,38430,,,-2267,200,,115117,115117,124570,0,9453,0,10716,1
26725630,9004,153632,437256,,437250,6,,22357,,267008,301523,2800000,,0,504,268558,0,268054,0,268054,2
27273126,3811,5797,611485,23467,247306,340712,,233585,,,383697,100060,,1780568,1794656,1688070,106586,0,86581,0,37
27273142,3811,13821,895978,199826,663279,32873,,948388,,,-38589,150000,,2111042,2179805,2068646,111159,0,111159,0,51
27864203,3600,33557,710345,40121,637006,33218,,441302,3235,,299365,1450000,,2406621,2484059,2941789,0,457730,0,457730,69
28271930,4724,,39539,39255,196,88,,63292,,,-23753,200,,31537,31537,37642,0,6105,0,6718,1
28527591,8230,42387,237116,671,166807,69638,,4485469,5355,,-4211321,2609606,,371856,497138,4035341,0,3538203,0,3538203,9
30458981,4221,225110,70398,39540,23594,7264,,69031,,,226477,526040,,518915,520751,593163,0,72412,0,72412,15
34875787,1413,14170760,25536483,79126,23392256,2065101,3785893,23003054,,192075,20298007,14310000,,50023810,55882118,46475102,9407016,0,7967137,0,890
36886430,8130,364676,2257358,201173,862606,1193579,4677,908336,,,1718375,2000000,,1986611,2067387,2349012,0,281625,0,281625,28
73452,5223,8262903,2683283,290237,1147806,1245240,12068,547290,6723740,41983,3645241,,168475,7274240,7839218,7830010,9208,0,0,0,58
2717819,4299,14913085,9318723,5639868,3232165,446690,,8781149,701816,,14748843,2021550,,19021020,21140627,21062230,78397,0,58102,0,103
7401263,3600,780813,1394323,28959,1338356,27008,151957,1029603,11931,80519,1205040,610680,,2896201,3098509,3070294,28215,0,11350,0,67
8274621,3811,695323,760134,,678295,81839,,238677,,,1216780,109415,,3342329,3372808,3242117,130691,0,112973,0,42
8334634,3600,4057163,1361572,39054,845656,476862,,1036232,,,4382503,2483745,,4979470,5010788,5302901,0,292113,0,292113,85
15340043,4399,73022,945855,410815,397525,137515,,529745,,,489132,200,,1414128,1427721,1406743,20978,0,6701,0,4
16907635,210,79075,984571,615,364319,619637,940,453080,,77512,533994,,,1888402,1912181,1563897,348284,0,294936,0,25
17370245,4677,27308,113728,89349,25130,-751,,76492,,,64544,400,,439000,448259,440666,7593,0,3193,0,3
17663628,1392,,,,,,,0,,,0,,,0,0,,0,0,0,0,
17891731,210,10959,1225408,32721,757731,434956,,649441,218778,50711,317437,,1408,2721867,2730952,2724342,6610,0,2095,0,37
18937756,3600,58652,293072,49143,175559,68370,,814737,,,-463013,90000,,940968,948655,1055521,0,106866,0,106866,27
7774378,4211,13522990,5812602,1570398,6076326,-1834122,145296,7613187,84240,,11783461,183778,,16033606,17718600,17543715,174885,0,71430,0,86
7795117,2562,4228427,3744403,47153,3261962,435288,-532,5344733,,,2627565,7090,,10109192,10338677,9555873,782804,0,560405,0,90
7799933,4321,1121171,11964539,494334,8954170,2516035,183922,4920647,12817,,8336168,100000,,11011512,11074172,10233296,840876,0,680931,0,77
7800043,7711,,447,,439,8,,3110,,,-2663,200,,0,0,,0,0,0,0,
7873185,4674,11401195,27454357,14606250,12030858,817249,20621,10059977,,,28816196,240000,,62860496,63214681,59514739,3699942,0,3168622,0,78
7893360,4639,5302510,13429808,5599204,6213314,1617290,48950,6604887,,,12176381,2000000,,38725174,39074562,36728956,2345606,0,1982165,0,97
7998561,1610,12971071,5798805,1665396,3349857,783552,,9712461,6504106,,2553309,63510,,24971099,26345284,26034966,310318,0,257772,0,67
8008476,5610,1257772,857623,682188,116518,58917,8849,1165410,,,958834,2799370,,1681254,1712266,1712096,170,0,0,53422,24
8157265,4773,3336360,9807931,3500047,3773172,2534712,25468,8437876,0,0,4731883,396,0,35655176,39487220,35467203,4020017,0,3452022,0,90
8553910,1520,4345182,7553012,6256687,1018309,278016,75590,4738929,0,0,7234855,3000,0,39549760,43352498,42029077,1323421,0,1131390,0,92
8574327,3600,227830227,10381850,642623,4890369,4848858,28431,37548148,192630151,,8062209,7090000,,25867498,27764051,27323518,440533,0,361180,0,353
8621852,4673,5135053,11177371,6451944,3262008,1463419,,3804602,,,12507822,323200,,53696090,55387905,53062115,2325790,0,2015004,0,72
8670570,3811,5334055,3630858,217067,3374899,38892,142829,5064676,24214,,4018852,1228450,,21378682,21750956,20969569,781387,0,775174,0,257
8698066,4939,28304672,24062868,352108,3301887,20408873,18890,14736714,385226,248785,37015705,4454384,,18761608,18807305,10057206,8750099,0,7206367,0,59
9049008,2221,10504122,9316968,2656206,6602303,58459,37527,8775542,1062633,,10020442,100300,,35313053,35827767,33879072,1948695,0,1639658,0,45
9173021,4639,11561143,13456493,6290929,6588595,576969,652865,17146497,95468,2237,8426299,500000,,77934146,78458300,76539396,1918904,0,1544727,0,135
9205492,8690,41623776,22047750,2160669,9142936,10744145,564515,11824471,,,52411570,8278580,,104399145,105629577,89624568,16005009,0,13384789,0,471
9484800,4941,25387830,14772617,1140515,13392141,239961,1259390,36821828,,,4598009,7890,,90116479,98007121,94925781,3081340,0,2559640,0,222
9609520,6202,552147,18854710,,7752916,11101794,543274,4625306,,,15324825,3073820,,39912744,40588200,35079336,5508864,0,4515005,0,298
9670187,2222,23069660,17148358,5487387,10479068,992215,21371,21671375,,,18568014,10453330,,55563997,56910263,52944828,3965435,0,3844531,0,107
9719787,4690,1252929,21182539,8866028,8124602,4191909,77215,4539207,3323,856631,17113522,352370,,54520221,55593547,51593638,3999909,0,3430437,0,54
9735812,4931,1470062,845454,173504,487570,184380,80660,1224954,273232,,897990,616790,,6759128,7002789,6962422,40367,0,28622,0,88
9808027,4321,7054371,12355113,1683517,5351528,2034221,,6639462,,426515,12343507,767551,,13677381,13843124,11499958,2343166,0,1940256,0,67
9924498,1107,16525204,30758905,1950608,7648741,21159556,75920,4266415,,,43093614,135000,,33101294,34033134,29035242,4997892,0,4220908,0,92
9941928,2894,25949038,26314270,17309703,7516091,1488476,27330,22378104,,173394,29739140,27352110,,54025960,56564344,54931295,1633049,0,1477719,0,375
10041938,4619,9558015,32465619,674501,31213196,577922,,30632913,,,11390721,11000,,103353668,103916539,100631818,3284721,0,2790000,0,20
10138656,3530,3988121,2420734,34720,2323893,62121,,2989165,,,3419690,3679370,,8844459,9361703,10171087,0,809384,0,809384,43
10152375,4673,6188045,21283188,11872243,7714339,1696606,,7073819,,,20397414,2700,,102531170,102738597,99193006,3545591,0,3061370,0,190
10188824,4774,2364346,11513063,5759301,4945739,808023,,10942341,930,,2934138,200,,24252605,24708638,23137447,1571191,0,1306658,0,59
10194273,4120,2392831,12584558,1398428,12185050,-998920,-41674,8413164,,,6522551,20000,,26623567,26628412,24110265,2518147,0,2108348,0,54
10253388,4322,5821835,20459334,2274446,16282816,1902072,4654,10180494,,1447760,14657569,6112300,,5274772,5126333,7453892,0,2327559,0,2327559,68
10405877,2932,49406152,54760680,35886543,18793394,80743,341903,32392539,3764434,954712,67397050,107833780,,196287817,205692925,204418688,1274237,0,502524,0,456
10610111,4941,12565366,13096165,27729,9919838,3148598,10701,11403241,,208650,14060341,4908630,,30033637,35414163,27733538,7680625,0,7680625,0,70
10637850,1621,3761725,12813909,775601,11949430,88878,,15135108,,,1440526,2900000,,22329076,28941843,28372281,569562,0,503590,0,20
10705807,2222,21673488,12512778,5225908,7016118,270752,18118,9691309,1472319,139173,22901583,4854730,,40615387,42731101,39342225,3388876,0,2992569,0,101
10790713,1310,37384252,26014447,18728555,5095859,2157325,51893,34713856,,431060,28305676,19710940,,84990725,87827514,87221048,606466,0,437453,0,201
11015244,4941,25700803,6824716,102197,6460778,261741,61004,30022504,,,2564019,700000,,26963030,27499970,27324901,175069,0,97055,0,48
11307753,4777,3162476,16849794,14005171,2484407,360216,167680,14329073,,,5850877,30000,,18494696,19137838,18540409,597429,0,521709,0,103
11319570,4643,7091091,41290883,15965801,30162114,-4837032,13629,38208462,,,10187141,500000,,43397214,56326991,55401903,925088,0,653482,0,87
11343640,4645,3246673,11386224,4928250,3671079,2786895,330682,4764339,,,10199240,10000,,42482545,42743316,38741440,4001876,0,3389997,0,132
11371616,5510,12816282,3051788,1137191,452304,1462293,33206,3013912,,,12887364,12000,,10989193,11311516,8756812,2554704,0,2420005,0,123
11462102,1629,48680198,8093959,5125705,2827325,119250,132969,44204152,342164,,12360810,3672200,,26403379,31298002,31520344,0,222342,0,222342,173
11556290,3317,10321917,2979451,1205667,1588940,184844,33963,6446472,1319693,,5569166,8495700,,5255872,11857757,15333233,0,3475476,0,3475476,86
11631848,4673,12527382,14381967,9608337,4352757,420873,90159,22152862,4846,,4841800,100000,,30741658,30891484,29192389,1699095,0,1457221,0,53
11684940,147,15591917,6396283,2728101,2255423,1412759,392001,9006164,3544267,,9829770,18000,,27583071,33242801,31902102,1340699,0,1313453,0,61
11685538,121,14865448,19200613,17387937,1702301,110375,1301,22488645,7016361,,4562356,50000,,31842016,34833538,33789038,1044500,0,855843,0,88
11706274,6201,18767452,4040896,300331,3412821,327744,27672,10365471,,869229,11601320,31617,,30846243,31103296,30142149,961147,0,655772,0,161
11766640,4211,11179880,8679714,1254075,629106,6796533,63030,1344373,,29386,18548865,13217260,,26869400,33669227,34160513,0,491286,0,491286,161
11826785,4120,865057,11675341,,5886423,5788918,13255,9688821,12212,1094312,1758308,280,,9524341,11591046,11450946,140100,0,112925,0,73
11927054,2229,7701775,17731372,7987256,9659071,85045,34644,10229783,612000,100000,14526008,200,,55179479,67277265,63789866,3487399,0,2969585,0,237
12018818,150,56756978,11595162,5561796,5756708,276658,206161,14814155,81831,275587,53386728,2999770,,39764368,50205666,46498886,3706780,0,3207727,0,203
12071773,1107,17411217,18828470,1525851,6776376,5417244,,8611914,46287,33146,27548340,1000000,,51210314,51479631,39494191,11985440,0,10336854,0,143
12124304,1393,26048949,1047353,306558,661924,78871,3583,22661748,0,0,4438137,4945400,0,8437000,8654748,9916613,0,1261865,0,1261865,152
12131298,6201,2742659,16975092,,5436209,11538883,710730,6085105,,,14343376,612000,,68906072,69499399,65459872,4039527,0,3297941,0,365
12214962,811,11237396,17695701,2699379,14333658,662664,1525427,22962450,2519892,,4976182,1780100,,44487374,47983259,47318924,664335,0,554869,0,90
12401154,2442,12476578,11620166,5678492,5807621,134053,,6807506,670361,,16618877,510000,,35315374,36755394,33013962,3741432,0,3182412,0,70
12477349,146,31712382,37314546,18916137,17950895,447514,,53408454,998914,,14619560,2491200,,83063338,109749208,109694953,54255,0,34056,0,266
12527609,2420,7114842,19411638,11726860,6626092,1058686,,8045736,1106182,,17374562,3316565,,35702192,39337790,37808309,1529481,0,974467,0,285
12602980,1011,13016448,16954294,6610958,3459384,6882830,2327,13336672,326078,,16310319,1800000,,87284972,93496447,88057417,5439030,0,4841669,0,275
12612348,1623,11200488,7181767,4232101,1257967,1691699,140022,3259448,3381761,,11881068,200000,,20908637,21897068,17731300,4165768,0,3575592,0,85
12642101,3600,20382165,18390737,489732,12447163,5453842,,19521750,449256,14202144,4599752,1710000,,26881115,33915776,32365240,1550536,0,1232373,0,211
12770364,4617,18539980,17195767,6775337,9645904,774526,43037,25367151,,,10411633,1010000,,74139967,75257363,70510607,4746756,0,3961128,0,59
12773808,1413,61754043,33158793,20779022,11869212,487192,421782,53543242,,1110598,40680778,899097,,134279064,141027671,138221025,2806646,0,2314920,0,730
12881273,4511,20516733,5595993,1227914,4024977,333620,36880,9436535,,,16713071,2583000,,27676869,29452679,27435937,2016742,0,1717994,0,91
12924048,4941,4670769,10363517,123969,8015352,2224196,89943,3889708,3154,,11231367,5000000,,33071255,33853775,31461191,2392584,0,2051986,0,87
12976756,4511,6403859,21057999,16954468,2939323,1164208,27136,21848191,,,5640803,430000,,104993558,106413151,102917932,3495219,0,2993073,0,78
12985282,1512,13931509,12168900,2704288,5230950,3609716,14483,14915108,,,11199784,4505010,,41601227,41950257,37945691,4004566,0,3324309,0,237
13043763,4690,22439416,42540257,23270189,18245580,994764,,44925749,380516,,19673408,550000,,69112730,70707416,67106041,3601375,0,3019214,0,194
