CUI,CAEN,ACTIVE IMOBILIZATE ,ACTIVE CIRCULANTE ,Stocuri,Creante,Casa si conturi la banci,CHELTUIELI IN AVANS,DATORII,VENITURI IN AVANS,PROVIZIOANE,CAPITALURI - TOTAL din care:,Capital subscris varsat,Patrimoniul regiei,Cifra de afaceri neta,VENITURI TOTALE,CHELTUIELI TOTALE,Profitul brut,Pierdere bruta,Profitul net,Pierdere neta,Numar mediu de salariati
14933182,6920,27526,210169,3481,44449,162239,,19053,,,218642,200,,61940,61940,39386,22554,0,21935,0,1
14940538,2931,3126511,2843568,280514,2517163,45891,20296,5550757,,,439618,1621980,,7938311,8211443,8909936,0,698493,0,698493,121
16189365,2571,7024570,4308371,1489592,2644545,174234,207965,4935671,,,6605235,1119909,,12193481,13184558,13122429,62129,0,23669,0,145
16195324,891,,200,,,200,,1325,,,-1125,200,,0,0,,0,0,0,0,
16195375,4321,358696,1413526,265181,588035,560310,,2679943,,,-907721,1834340,,5813749,6058900,5565373,493527,0,414977,0,28
16195421,2223,48129,49113,6274,10677,32162,,189823,,,-92581,200,,239353,239355,260553,0,21198,0,23593,
16210645,4690,55870,6026743,3338106,2611113,77524,,235840,,,5846773,60270,,9813619,9896305,9021876,874429,0,750613,0,3
16219580,6820,18602447,9264887,833155,8153607,278125,4323223,22829120,140019,,9221418,2783730,,7112848,7332631,5065107,2267524,0,1816214,0,14
16227310,4719,88886874,30857450,13499419,17122301,235730,,39487953,109423,,80146948,6000000,,24967725,25372729,23785640,1587089,0,1318651,0,39
16233363,4711,408462,3306681,3072188,173955,60538,,2545501,,,1169642,750000,,6167015,6217977,6071001,146976,0,127760,0,20
16243995,4730,75975,836083,569763,126931,139389,643,362783,0,0,549918,210,0,12580682,12602352,12157271,445081,0,373501,0,24
16249246,7111,183600,2061,,,2061,,0,,,185661,200,,0,0,330,0,330,0,330,
16264300,4778,814471,1179416,,836504,342912,,575761,,,1418126,200,,2204434,2204434,1305309,899125,0,877081,0,7
16264602,4673,4537950,6361498,4262287,2067415,31796,33495,7083767,,,3849176,1001000,,18522958,20429126,19164440,1264686,0,1105532,0,34
16273120,2899,1644015,1522757,759379,723904,39474,728,2595081,36914,,535505,160050,,4814613,4445305,5478999,0,1033694,0,1033694,37
16278470,8299,,123015,93180,6393,23442,,61384,,,61631,200,,302198,313204,255597,57607,0,54475,0,1
16296655,4941,7951442,4304058,412700,3652527,238831,160466,10723928,,,1692038,457200,,14161783,17657699,18435427,0,777728,0,777728,62
16298494,6920,342,7732,2636,4086,1010,2507,5028,,,5553,200,,3000,3000,3524,0,524,0,614,
16298702,6820,3304468,797600,0,84713,212887,8105,624195,0,0,3485978,20000,0,663369,663557,417099,246458,0,236019,0,1
16315102,7022,1309950,5126004,1690020,1968880,1467104,3962,5339781,28797,,1071338,100000,,9615905,9672707,8572911,1099796,0,951338,0,11
16329086,4120,0,17543,,14000,3543,,5464,,,12079,200,,82100,82100,73482,8618,0,7797,0,
16340173,4322,316042,1344938,,851600,493338,,1197641,,,463339,200,,5252475,5254358,4686004,568354,0,463099,0,16
16341004,6201,1449396,1287207,5381,743997,87926,8046,558579,,,2186070,4000,,7469415,7491542,5274950,2216592,0,1890359,0,48
16351903,9609,,394,,,394,,11283,,,-10889,200,,32441,32441,34857,0,2416,0,2683,1
16354462,4120,1720581,1893030,314473,1192879,385678,18091,2960989,434586,0,236127,31100,0,8107472,8496910,8284280,212630,0,168464,0,35
16361320,4711,920,25443,20997,4100,346,,129120,,,-102757,500,,267096,266724,282545,0,15821,0,18491,2
16368395,4773,1390993,5212454,1439411,2948966,824077,799,4903807,,,1700439,300,,14914748,14941367,14634486,306881,0,244722,0,21
16371560,4120,222296,817156,0,788794,28362,,5970213,,,-4930761,2000,,3258980,3263145,8195723,0,4932578,0,5207578,41
16374044,4110,438756,844350,553299,114354,176697,,831246,,,451860,200,,8088372,8091635,7958095,133540,0,125989,0,30
16374230,9200,172180,2351051,,117331,2233720,66874,789950,,,1800155,45000,,21639798,21662051,19633282,2028769,0,1746155,0,19
16378500,4631,766254,819967,285505,383354,151108,15253,1357712,,,243762,200,,15933119,16058614,16057780,834,0,0,1608,8
5048689,4673,1877590,4727874,4171552,557745,-1423,37943,4232036,366669,,2044702,110000,,14487556,14713525,14438612,274913,0,230188,0,45
5074262,4778,2227,281911,198221,41257,42433,2342,18120,,,268360,220,,100690,100690,64933,35757,0,32736,0,2
5074335,4789,58233,55246,49443,5525,278,,697653,,,-584174,200,,0,0,101,0,101,0,101,
5074351,4531,927530,2228808,723846,1137292,367670,2128,864304,,,2294162,105000,,3775642,3815288,3724755,90533,0,74494,0,14
5074637,4619,337490,153220,13389,135725,4106,77340,531959,0,0,36091,200,0,181210,257527,307634,0,50107,0,51916,0
5076034,811,1254863,1321409,456797,474222,390390,4041,2205241,,,375072,1000,,7766439,7771678,7678996,92682,0,82886,0,34
