CUI,CAEN,ACTIVE IMOBILIZATE - TOTAL,ACTIVE CIRCULANTE - TOTAL din care:,Stocuri,Creante,Casa si conturi la banci,CHELTUIELI IN AVANS,DATORII,VENITURI IN AVANS,PROVIZIOANE,CAPITALURI - TOTAL din care:,Capital subscris varsat,Patrimoniul regiei,Cifra de afaceri neta,VENITURI TOTALE,CHELTUIELI TOTALE,Profitul brut,Pierdere bruta,Profitul net,Pierdere neta,Numar mediu de salariati
18403537,5510,3727844,6658368,1342272,3370396,1945700,874803,9697027,14435,,1549553,10517400,,30570334,30777935,29917155,860780,0,72140,0,156
18430493,4120,3651726,11882256,7071794,3784759,675703,0,5952406,120836,1848234,7612506,60000,0,7878215,14245032,13929838,315194,0,262163,0,129
18452211,5510,60635831,21747967,611196,10897212,10239559,511026,33589414,,870967,48434443,1751000,,45236499,58533468,49216438,9317030,0,8201111,0,170
18472820,7732,1211765,1686193,176885,1481665,27643,274718,2460862,,,711814,400,,1535413,1913168,1387708,525460,0,506295,0,7
18483455,4321,1046163,39900340,1704069,29707238,8489033,105633,23226570,0,1206527,16619039,175000,0,71551950,72534316,69781727,2752589,0,2203232,0,26
18490045,4120,15708640,29076470,6877731,15054037,3694136,234802,24413932,,165007,20440973,210,,45075035,44464293,34407242,10057051,0,8555488,0,186
18532442,5630,12600,1185268,79752,102486,1003030,12868,654165,3165,,553406,200,,2944424,2943004,2360408,582596,0,553166,0,26
18575630,2892,22544742,10698564,5559806,18894583,-13755825,,9599209,,,23644097,1800000,,44960679,47826302,48136733,0,310431,0,310431,222
18597298,4329,13623443,3244490,500719,2074457,669314,7674,8308860,,3830245,4736502,200,,47734937,49345045,44069027,5276018,0,4609695,0,48
31026396,4644,295761,5465277,4021318,1441538,2421,17651,5497549,,,281140,200,,5324530,5340464,5274777,65687,0,35994,0,5
31028788,3511,230347208,230152885,,224575993,5576892,48464,817817,1082386,93204,458555150,360238450,,4208835,6815629,9914103,0,3098474,0,3098474,38
31029694,4110,115140587,8609077,,2495540,6113537,1859,816266,,7009193,115926064,126742983,,2696127,3119429,4109547,0,990118,0,990118,11
31055944,4120,13371160,36226701,10223044,23554341,2449316,168578,40038339,500176,3118728,6109196,1000,,125500211,116327980,110104516,6223464,0,5337959,0,48
31238674,4322,1873254,15233898,1233067,11300964,2699867,40782,10018422,,265371,6864141,15000,,48850911,50268950,45819691,4449259,0,3584772,0,193
